"Payment_ID";"Payment_method"
1;"Credit Card"
2;"PayPal"
3;"Cash"
4;"Bank Transfer"
5;"Debit Card"
6;"Venmo"
7;"Bitcoin"
8;"Apple Pay"
9;"Google Pay"
10;"Stripe"
11;"Square"
12;"Zelle"
13;"Samsung Pay"
14;"Cash App"
15;"Mastercard"
16;"Visa"
17;"American Express"
18;"Discover"
19;"Diners Club"
20;"JCB"
21;"UnionPay"
22;"Maestro"
23;"Prepaid Card"
24;"Gift Card"
25;"ACH Transfer"
26;"Wire Transfer"
27;"Mobile Wallet"
28;"Contactless Payment"
29;"Cryptocurrency"
30;"Money Order"
31;"Western Union"
32;"Barter System"
33;"IOU"
34;"In-Kind Payment"
35;"Promissory Note"
36;"Gold Coins"
37;"Silver Bars"
38;"Personal Check"
39;"Travelers Cheque"
40;"Binance Coin"
41;"Ethereum"
42;"Litecoin"
43;"Ripple"
44;"Stellar"
45;"Cardano"
46;"Polkadot"
47;"Chainlink"
48;"Dogecoin"
49;"NFT"
50;"Decentraland Tokens"
